,,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy,Fantasy,Fantasy per Game,Fantasy per Game,Fantasy per Game
Tm,G,Att,Yds,TD,Tgt,Rec,Yds,TD,FantPt,DKPt,FDPt,FantPt,DKPt,FDPt
Arizona Cardinals,16,444,2183,20,94,76,598,2,410.60,504.1,448.1,25.7,31.5,28.0
Cincinnati Bengals,16,370,1827,14,121,96,901,6,390.80,506.8,438.8,24.4,31.7,27.4
Kansas City Chiefs,16,364,1815,14,115,92,894,6,386.90,494.9,432.9,24.2,30.9,27.1
Miami Dolphins,16,412,1843,15,108,78,770,3,363.30,459.3,402.3,22.7,28.7,25.1
Tampa Bay Buccaneers,16,340,1551,16,105,82,690,6,356.80,461.1,397.1,22.3,28.8,24.8
Atlanta Falcons,16,328,1527,12,139,117,934,4,344.10,480.1,403.6,21.5,30.0,25.2
New York Giants,16,364,1552,15,114,83,638,5,343.28,446.3,384.8,21.5,27.9,24.1
Oakland Raiders,16,391,1851,13,79,57,560,3,341.30,419.1,369.6,21.3,26.2,23.1
Buffalo Bills,16,363,1487,17,124,90,687,4,337.40,437.4,382.4,21.1,27.3,23.9
Cleveland Browns,16,363,1721,14,105,79,716,1,329.80,429.7,369.2,20.6,26.9,23.1
San Francisco 49ers,16,363,1480,13,132,99,798,3,323.90,432.8,373.3,20.2,27.1,23.3
Los Angeles Chargers,16,319,1375,11,133,107,973,4,320.80,435.8,374.3,20.1,27.2,23.4
Denver Broncos,16,371,1775,10,98,77,664,2,310.00,404.9,348.4,19.4,25.3,21.8
Green Bay Packers,16,358,1549,13,82,62,586,3,307.60,377.5,338.5,19.2,23.6,21.2
New York Jets,16,351,1514,12,99,72,585,4,302.20,381.9,337.9,18.9,23.9,21.1
Seattle Seahawks,16,300,1364,8,125,99,906,6,301.00,424.0,350.5,18.8,26.5,21.9
Los Angeles Rams,16,336,1635,12,107,79,477,4,299.50,395.2,338.7,18.7,24.7,21.2
Washington Redskins,16,340,1557,9,127,96,732,2,292.90,398.9,340.9,18.3,24.9,21.3
Detroit Lions,16,331,1575,8,105,79,599,4,291.40,385.4,330.9,18.2,24.1,20.7
New England Patriots,16,316,1509,6,121,90,783,4,282.20,384.2,326.2,17.6,24.0,20.4
Philadelphia Eagles,16,259,1183,9,137,110,844,4,281.10,405.7,335.7,17.6,25.4,21.0
Indianapolis Colts,16,352,1353,8,140,110,833,3,281.10,392.6,335.6,17.6,24.5,21.0
Minnesota Vikings,16,362,1471,8,103,74,694,3,276.70,360.5,313.5,17.3,22.5,19.6
Pittsburgh Steelers,16,320,1290,12,95,67,515,4,274.80,348.5,308.0,17.2,21.8,19.3
Dallas Cowboys,16,317,1214,10,123,101,747,3,270.50,382.1,320.6,16.9,23.9,20.0
Carolina Panthers,16,310,1438,9,91,67,443,4,260.70,339.1,293.6,16.3,21.2,18.4
Jacksonville Jaguars,16,320,1306,9,98,73,546,2,251.20,337.2,287.7,15.7,21.1,18.0
Houston Texans,16,320,1000,8,122,89,682,6,244.52,337.5,289.0,15.3,21.1,18.1
Tennessee Titans,16,364,1558,7,100,67,404,0,236.50,313.2,269.7,14.8,19.6,16.9
New Orleans Saints,16,278,895,7,107,86,652,5,229.10,316.7,271.7,14.3,19.8,17.0
Baltimore Ravens,16,296,1041,8,114,78,447,3,216.90,297.8,255.8,13.6,18.6,16.0
Chicago Bears,16,289,1045,3,106,78,570,3,191.60,281.5,230.5,12.0,17.6,14.4
